diary('Calibration/o.csv')
run
Actual Height, Calculated Height, A, Pixel Height, Actual Skew Factor, Calculated Skew Factor, Percent Error, Distance
3.750000e+01, 3.758024e+01, 1, -345, 1.521739e-02, 1.498482e-02, 1.528353e-02, 1
3.750000e+01, 3.738103e+01, 2, -321, 1.323988e-02, 1.361049e-02, 2.799198e-02, 2
3.750000e+01, 3.731339e+01, 3, -172, 1.889535e-02, 1.998030e-02, 5.741897e-02, 3
3.750000e+01, 3.746436e+01, 4, -27, 8.333333e-02, 8.465339e-02, 1.584065e-02, 4
3.750000e+01, 3.760781e+01, 5, 93, -1.344086e-02, -1.228163e-02, 8.624705e-02, 5
3.750000e+01, 3.712859e+01, 6, 213, -1.173709e-03, -2.917399e-03, 1.485624e+00, 6
3.750000e+01, 3.722378e+01, 7, 315, 2.380952e-03, 1.504071e-03, 3.682903e-01, 7
3.750000e+01, 3.758786e+01, 8, 410, 4.268293e-03, 4.482576e-03, 5.020350e-02, 8
3.750000e+01, 3.777419e+01, 9, 481, 5.717256e-03, 6.287300e-03, 9.970595e-02, 9
3.750000e+01, 3.794589e+01, 10, 545, 6.880734e-03, 7.698879e-03, 1.189038e-01, 10
run
Actual Height, Calculated Height, A, Pixel Height, Actual Skew Factor, Calculated Skew Factor, Percent Error, Distance
2.575000e+01, -4.641976e+01, 16, -345, 5.797101e-03, 2.149848e-01, 3.608488e+01, 16
2.575000e+01, -4.281897e+01, 18, -321, 0, 2.136105e-01, Inf, 18
2.575000e+01, -1.408661e+01, 20, -172, -1.162791e-02, 2.199803e-01, 1.991831e+01, 20
2.575000e+01, 1.406436e+01, 22, -27, -1.481481e-01, 2.846534e-01, 2.921410e+00, 22
2.575000e+01, 2.029040e+01, 24, 93, 6.451613e-02, 5.810754e-03, 9.099333e-01, 24
2.575000e+01, 2.121174e+01, 2.600000e+01, 213, 3.755869e-02, 1.625228e-02, 5.672830e-01, 26
2.575000e+01, 2.242246e+01, 28, 315, 3.174603e-02, 2.118242e-02, 3.327539e-01, 28
<a href="matlab: opentoline('C:\Program Files\MATLAB\R2016a\toolbox\matlab\imagesci\private\readjpg.m',27,1)">27  </a>junk = [];
if system_dependent('IsDebugMode')==1, dbquit; end
run
Actual Height, Calculated Height, A, Pixel Height, Actual Skew Factor, Calculated Skew Factor, Percent Error, Distance
2.575000e+01, 2.584682e+01, 16, -7, 2.857143e-01, 2.718831e-01, 4.840932e-02, 16
2.575000e+01, 2.587687e+01, 18, 68, 0, 1.865797e-03, Inf, 18
2.575000e+01, 2.552510e+01, 20, 150, 1.333333e-02, 1.183400e-02, 1.124496e-01, 20
2.575000e+01, 2.544442e+01, 22, 221, 1.809955e-02, 1.671685e-02, 7.639404e-02, 22
2.575000e+01, 2.572205e+01, 24, 294, 2.040816e-02, 2.031311e-02, 4.657852e-03, 24
2.575000e+01, 2.630196e+01, 2.600000e+01, 369, 2.168022e-02, 2.317604e-02, 6.899474e-02, 26
2.575000e+01, 2.631890e+01, 28, 424, 2.358491e-02, 2.492664e-02, 5.688960e-02, 28
2.575000e+01, 2.595913e+01, 30, 467, 2.569593e-02, 2.614375e-02, 1.742755e-02, 30
diary off
